c3_1,c3_2,d3_1,d3_2,e3_1,e3_2,f3_1,f3_2,g3_1,g3_2,a3_1,a3_2,b3_1,b3_2,d-3_1,d-3_2,d-3_3,e-3_1,e-3_2,e-3_3,g-3_1,g-3_2,g-3_3,a-3_1,a-3_2,a-3_3,b-3_1,b-3_2,b-3_3
-0.00116,-0.04507,0.04077,-0.1416,-0.0058,0.04022,-0.0126,-0.04782,-0.11786,-0.0896,0.01743,-0.005524,-0.03152,0.03574,-0.005768,0.02081,-0.001587,-0.009735,-0.00708,0.006256,-0.046,0.003723,-0.05798,0.02426,-0.007538,-0.01724,0.00531,-0.00888,-0.007416
-0.00479,-0.03815,0.04483,-0.1355,0.02856,0.1295,-0.009796,-0.03748,-0.1295,-0.1089,0.02951,-0.01563,-0.03018,0.01617,-0.0004883,0.01944,-0.00464,-0.0108,-0.008575,-0.01016,-0.04636,-0.001221,-0.02414,0.01477,-0.007812,-0.02109,0.004852,-0.003937,-0.00842
-0.006958,-0.02725,0.05804,-0.1266,0.0759,0.2028,-0.006073,-0.0323,-0.1266,-0.12134,0.0435,-0.02487,-0.02939,-0.003265,0.003998,0.01666,-0.003082,-0.01132,-0.007233,-0.03064,-0.04587,-0.007996,0.00964,0.006805,-0.008575,-0.02292,0.003967,0.0003052,-0.00986
-0.007385,-0.012695,0.0664,-0.10754,0.1249,0.25,-0.003998,-0.0264,-0.1083,-0.12317,0.05432,-0.03235,-0.02908,-0.01993,0.007477,0.01218,0.002716,-0.01163,-0.003815,-0.0541,-0.04477,-0.01526,0.03308,0.003662,-0.00937,-0.022,0.002136,0.00354,-0.011475
-0.006134,0.00464,0.0712,-0.0834,0.1602,0.2686,9.155e-05,-0.02588,-0.07666,-0.10925,0.06555,-0.0373,-0.0299,-0.0338,0.009186,0.00702,0.006683,-0.011475,3.05e-05,-0.08417,-0.04263,-0.02121,0.0452,0.007477,-0.00943,-0.01785,6.104e-05,0.005096,-0.01248
-0.005035,0.02292,0.0811,-0.052,0.1865,0.2659,-0.000946,-0.02753,-0.03503,-0.07947,0.07434,-0.03876,-0.03326,-0.04486,0.00955,0.001038,0.00403,-0.01041,0.003357,-0.1039,-0.03827,-0.02472,0.04135,0.0191,-0.008484,-0.01135,-0.00177,0.005646,-0.0123
-0.003601,0.04,0.08105,-0.01831,0.1948,0.2588,-0.0001831,-0.02338,0.00961,-0.0376,0.0786,-0.0361,-0.03726,-0.05392,0.00864,-0.00482,-0.006042,-0.00784,0.005157,-0.1101,-0.0317,-0.02545,0.0246,0.03326,-0.00644,-0.00467,-0.003052,0.00522,-0.01001
-0.003815,0.0536,0.0857,0.00995,0.1925,0.2465,0.001587,-0.01624,0.05066,0.00943,0.0791,-0.02994,-0.04123,-0.06128,0.006866,-0.00983,-0.0221,-0.003967,0.005188,-0.1057,-0.02368,-0.0245,0.003418,0.04556,-0.00403,0.00058,-0.003662,0.00421,-0.00598
-0.006134,0.0621,0.08765,0.03488,0.1827,0.2303,0.0004272,-0.001221,0.0852,0.0564,0.0714,-0.02167,-0.044,-0.0664,0.004456,-0.0137,-0.0376,0.000824,0.00406,-0.0873,-0.01584,-0.02359,-0.0195,0.05136,-0.001862,0.002686,-0.003937,0.003845,-0.002228
-0.00989,0.06525,0.08655,0.0505,0.1646,0.2078,0.001007,0.01495,0.1106,0.0989,0.05786,-0.0126,-0.04428,-0.0701,0.002075,-0.01596,-0.05005,0.005432,0.0029,-0.0665,-0.00897,-0.02393,-0.03662,0.04898,-0.0009155,0.001434,-0.003784,0.00409,-0.00058
